"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk"
"170","SL18-UCONN-172",170,"2019","172","GOM","172","5_31_2019",125,NA,"SL18-OI-2-FG3","OI","SL18-SF-17-MG1","SF","SL18-OI-2-F3 / SL18-SF-17-M1","2",1,"4","TBD","2",3,1.74,0.92,1.891304348,9.64,0.17,0,"ES"
"171","SL18-UCONN-173",171,"2019","173","GOM","173","5_31_2019",125,NA,"SL18-OI-4-FG3","OI","SL18-SF-17-MG1","SF","SL18-OI-4-F3 / SL18-SF-17-M1","1",1,"3","TBD","9",1,0.25,0.79,0.316455696,10.01,0.03,0,"ES"
"172","SL18-UCONN-174",172,"2019","174","GOM","174","5_30_2019",124,NA,"SL18-OI-6-FG1","OI","SA18-CB-2-MG1","CB","SL18-OI-6-F1 / SA18-CB-2-M1","2",1,"1","TBD","4",2,0.57,1,0.57,12.82,0.07,60,"ES"
"173","SL18-UCONN-175",173,"2019","175","GOM","175","5_30_2019",124,NA,"SL18-OI-6-FG1","OI","SA18-CB-4-MG1","CB","SL18-OI-6-F1 / SA18-CB-4-M1","2",4,"1","TBD","4",3,2.75,0.91,3.021978022,6.92,0.19,180,"ES"
"174","SL18-UCONN-176",174,"2019","176","GOM","176","5_29_2019",123,NA,"SL18-OI-6-FG1","OI","SL18-LD-13-MG2","LD","SL18-OI-6-F1 / SL18-LD-13-M2","1",1,"2","TBD","3",2,1.58,0.65,2.430769231,9.9,0.16,180,"ES"
"175","SL18-UCONN-177",175,"2019","177","GOM","177","5_31_2019",125,NA,"SL18-OI-6-FG1","OI","SL18-LD-2-MG1","LD","SL18-OI-6-F1 / SL18-LD-2-M1","2",1,"4","TBD","1",3,2.36,0.88,2.681818182,9.83,0.23,160,"ES"
"176","SL18-UCONN-178",176,"2019","178","GOM","178","5_31_2019",125,NA,"SL18-OI-6-FG1","OI","SL18-LD-5-MG1","LD","SL18-OI-6-F1 / SL18-LD-5-M1","2",1,"3","TBD","9",3,3.76,0.97,3.87628866,4.29,0.16,260,"ES"
"18","SL18-UCONN-18",18,"2019","18","GOM","18","5_30_2019",124,NA,"SL18-LD-1-FG1","LD","SL18-OI-18-MG1","OI","SL18-LD-1-F1 / SL18-OI-18-M1","1",1,"3","TBD","1",3,1.9,0.86,2.209302326,9.74,0.18,340,"ES"
"178","SL18-UCONN-180",178,"2019","180","GOM","180","5_31_2019",125,NA,"SL18-OI-6-FG1","OI","SL18-NL-9-MG1","NL","SL18-OI-6-F1 / SL18-NL-9-M1","1",1,"4","TBD","2",2,1.73,0.76,2.276315789,10.87,0.19,120,"ES"
"179","SL18-UCONN-181",179,"2019","181","GOM","181","5_31_2019",125,NA,"SL18-OI-6-FG1","OI","SL18-SF-15-MG1","SF","SL18-OI-6-F1 / SL18-SF-15-M1","2",1,"4","TBD","3",3,2.67,0.82,3.256097561,8.81,0.24,220,"ES"
"180","SL18-UCONN-182",180,"2019","182","GOM","182","5_31_2019",125,NA,"SL18-OI-6-FG1","OI","SL18-SF-19-MG1","SF","SL18-OI-6-F1 / SL18-SF-19-M1","2",1,"4","TBD","2",3,1.47,0.84,1.75,8.22,0.12,80,"ES"
"181","SL18-UCONN-183",181,"2019","183","GOM","183","5_30_2019",124,NA,"SL18-OI-7-FG3","OI","SA18-CB-2-MG3","CB","SL18-OI-7-F3 / SA18-CB-2-M3","2",1,"3","TBD","5",3,1.67,0.75,2.226666667,9.71,0.16,260,"ES"
"182","SL18-UCONN-184",182,"2019","184","GOM","184","5_31_2019",125,NA,"SL18-OI-7-FG3","OI","SL18-LD-9-MG1","LD","SL18-OI-7-F3 / SL18-LD-9-M1","2",1,"4","TBD","4",1,0.2,0.84,0.238095238,12.84,0.03,0,"ES"
"184","SL18-UCONN-186",184,"2019","186","GOM","186","5_29_2019",123,NA,"SL18-OI-9-FG1","OI","SL18-LL-9-MG2","LL","SL18-OI-9-F1 / SL18-LL-9-M2","2",1,"2","TBD","9",3,2,0.85,2.352941176,8.49,0.17,300,"ES"
"185","SL18-UCONN-187",185,"2019","187","GOM","187","5_30_2019",124,NA,"SL18-OI-9-FG1","OI","SL18-OI-9-MG3","OI","SL18-OI-9-F1 / SL18-OI-9-M3","1",1,"1","TBD","6",1,0.44,0.83,0.530120482,10,0.04,160,"ES"
"186","SL18-UCONN-188",186,"2019","188","GOM","188","5_30_2019",124,NA,"SL18-SF-13-FG1","SF","SL18-LD-3-MG2","LD","SL18-SF-13-F1 / SL18-LD-3-M2","1",1,"3","TBD","4",1,0.12,1,0.12,12.51,0.02,0,"ES"
"187","SL18-UCONN-189",187,"2019","189","GOM","189","5_30_2019",124,NA,"SL18-SF-13-FG1","SF","SL18-LL-9-MG3","LL","SL18-SF-13-F1 / SL18-LL-9-M3","2",4,"3","TBD","4",3,2.04,0.93,2.193548387,12.02,0.25,80,"ES"
"19","SL18-UCONN-19",19,"2019","19","GOM","19","5_30_2019",124,NA,"SL18-LD-1-FG2","LD","SA18-CB-4-MG3","CB","SL18-LD-1-F2 / SA18-CB-4-M3","2",1,"3","TBD","3",3,5.14,0.77,6.675324675,8.91,0.46,180,"ES"
"188","SL18-UCONN-190",188,"2019","190","GOM","190","5_30_2019",124,NA,"SL18-SF-17-FG1","SF","SL18-LL-9-MG1","LL","SL18-SF-17-F1 / SL18-LL-9-M1","2",1,"1","TBD","9",2,1.01,0.91,1.10989011,10.27,0.1,80,"ES"
"189","SL18-UCONN-191",189,"2019","191","GOM","191","5_30_2019",124,NA,"SL18-SF-17-FG1","SF","SL18-SF-17-MG2","SF","SL18-SF-17-F1 / SL18-SF-17-M2","2",1,"1","TBD","6",1,0.1,0.855,0.116959064,10.84,0.01,0,"ES"
"190","SL18-UCONN-192",190,"2019","192","GOM","192","5_30_2019",124,NA,"SL18-SF-17-FG3","SF","SA18-CB-10-MG1","CB","SL18-SF-17-F3 / SA18-CB-10-M1","2",4,"1","TBD","1",3,4.25,0.9,4.722222222,7.46,0.32,420,"ES"
"191","SL18-UCONN-193",191,"2019","193","GOM","193","5_30_2019",124,NA,"SL18-SF-17-FG3","SF","SA18-CB-3-MG3","CB","SL18-SF-17-F3 / SA18-CB-3-M3","2",4,"1","TBD","4",3,1.97,0.83,2.373493976,8.83,0.17,20,"ES"
"192","SL18-UCONN-194",192,"2019","194","GOM","194","5_31_2019",125,NA,"SL18-SF-17-FG3","SF","SL18-LD-2-MG1","LD","SL18-SF-17-F3 / SL18-LD-2-M1","2",1,"4","TBD","6",2,1.59,0.92,1.72826087,9.29,0.15,240,"ES"
"193","SL18-UCONN-195",193,"2019","195","GOM","195","5_30_2019",124,NA,"SL18-SF-17-FG3","SF","SL18-NL-10-MG2","NL","SL18-SF-17-F3 / SL18-NL-10-M2","3",1,"1","TBD","8",2,0.55,0.95,0.578947368,10.99,0.06,160,"ES"
"194","SL18-UCONN-196",194,"2019","196","GOM","196","5_31_2019",125,NA,"SL18-SF-17-FG3","SF","SL18-NL-2-MG3","NL","SL18-SF-17-F3 / SL18-NL-2-M3","3",4,"4","TBD","4",3,2.64,0.81,3.259259259,8.47,0.22,0,"ES"
"195","SL18-UCONN-197",195,"2019","197","GOM","197","5_31_2019",125,NA,"SL18-SF-17-FG3","SF","SL18-NL-9-MG1","NL","SL18-SF-17-F3 / SL18-NL-9-M1","3",1,"4","TBD","9",3,2.75,0.89,3.08988764,8.55,0.24,260,"ES"
