rownames,pedigree,Category,Isolate_Sorus,index,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SL18.OI.18.FG2xSA18.CB.7.MG1,SL18-OI-18-FG2xSA18-CB-7-MG1,SL18-UCONN-147,#N/A,0.081493902,0.281446475,0.043521298,-0.005548695,5.967104607,-0.203945406,-0.011910638,-0.193107201,-0.315805227,0.183965968
SA18.CB.4.FG3xSA18.CB.4.MG3,SA18-CB-4-FG3xSA18-CB-4-MG3,SL18-UCONN-3,#N/A,0.011723794,0.2347139,0.043225086,-0.074726378,-2.076917927,-0.131943646,0.092317263,0.153065603,0.236549818,-0.404772095
SL18.NL.6.FG1xSL18.OI.11.MG2,SL18-NL-6-FG1xSL18-OI-11-MG2,SL18-UCONN-100,#N/A,0.040141011,0.259668386,0.042803677,-0.045466343,80.34772913,0.115641318,-0.189203167,0.461258459,0.58541018,0.430414769
SL18.NL.6.FG1xSL18.SF.17.MG1,SL18-NL-6-FG1xSL18-SF-17-MG1,SL18-UCONN-104,#N/A,0.036392355,0.311871553,0.041989267,-0.047586179,67.54291577,-0.010409572,0.005070941,0.00857152,0.370109356,0.067560953
SL18.SF.13.FG1xSA18.CB.7.MG1,SL18-SF-13-FG1xSA18-CB-7-MG1,SL19-UCONN-S144,Yes,0.113077478,0.167759296,0.041262399,0.03055268,0.937086512,-0.273276173,0.052586542,-0.274548454,-0.209874842,-0.281401283
SL18.NL.3.FG1xSA18.CB.7.MG2,SL18-NL-3-FG1xSA18-CB-7-MG2,SL18-UCONN-82,#N/A,0.051932484,0.168981272,0.040392915,-0.028853346,34.22267247,0.022030515,0.136637408,-0.386445208,-0.4145032,-0.304695512
SL18.NL.3.FG1xSA18.CB.7.MG2.1,SL18-NL-3-FG1xSA18-CB-7-MG2,SL18-UCONN-82,#N/A,0.051932484,0.168981272,0.040392915,-0.028853346,34.22267247,0.022030522,0.136637216,-0.386445182,-0.414501603,-0.304695539
SL18.LD.2.FG2xSA18.CB.3.MG3,SL18-LD-2-FG2xSA18-CB-3-MG3,SL18-UCONN-32,#N/A,0.076207591,0.042103381,0.04036206,-0.00451653,7.298178183,-0.013532671,0.195023677,-0.082845093,0.059650347,-0.171248649
SL18.CC.12.FG3xSL18.NC.11.MG2,SL18-CC-12-FG3xSL18-NC-11-MG2,SL19-UCONN-S95,#N/A,0.093387565,0.234503521,0.038731555,0.015924455,22.49368009,0.169828094,0.19567403,-0.012900335,0.344020458,0.328117863
SL18.LD.3.FG2xSA18.CB.2.MG3,SL18-LD-3-FG2xSA18-CB-2-MG3,SL18-UCONN-39,#N/A,0.115803288,0.235650569,0.038260516,0.039282255,-5.91432223,0.061686891,0.32175123,-0.131890964,0.051321649,0.040994995
SL18.LD.1.FG3xSL18.OI.15.MG2,SL18-LD-1-FG3xSL18-OI-15-MG2,SL18-UCONN-31,#N/A,0.057457516,0.131880055,0.037738792,-0.018020067,16.61341617,0.106615822,0.077166594,-0.285686503,-0.009818582,-0.166978012
SL18.OI.6.FG1xSL18.SF.19.MG1,SL18-OI-6-FG1xSL18-SF-19-MG1,SL18-UCONN-182,#N/A,0.11438214,0.185447088,0.037316709,0.039748723,22.98724356,-0.105227363,-0.15290498,0.007608592,0.133557038,-0.082672463
SL18.NL.2.FG1xSL18.SF.17.MG1,SL18-NL-2-FG1xSL18-SF-17-MG1,SL18-UCONN-76,#N/A,0.063318087,0.176059491,0.036313399,-0.009308711,-3.188226269,-0.05760551,0.207759696,-0.002968474,0.302883711,-0.389382113
SA18.CB.7.FG1xSL18.CC.8.MG2,SA18-CB-7-FG1xSL18-CC-8-MG2,SL19-UCONN-S114,Yes,0.081786103,0.22945458,0.036135246,0.009515611,9.960916076,0.017432721,0.047416575,-0.120299388,0.552336828,-0.277259912
SL18.CC.5.FG3xSL18.JS.19.MG2,SL18-CC-5-FG3xSL18-JS-19-MG2,SL19-UCONN-S159,#N/A,0.028651751,0.363295491,0.035985598,-0.043319444,-3.844823218,0.134685057,0.498033054,0.09508826,0.33791866,0.25782177
SL18.OI.17.FG1xSL18.SF.13.MG2,SL18-OI-17-FG1xSL18-SF-13-MG2,SL18-UCONN-143,#N/A,0.070005212,0.117300261,0.034901448,0.000202315,13.64357803,0.205449802,-0.096739895,-0.627260599,0.09682803,0.381071461
